blackbox,model,learner,rules,coverage,seed,model_number,time_without,time_with,specificity_without,precision_without,recall_without,and_without,or_without,predicates_without,specificity_with,precision_with,recall_with,and_with,or_with,predicates_with,time_influential,fscore_without,fscore_with
bank,rfc,0,bayesian,0.3,12345678,1,249.384,489.848,0.952,0.344,0.252,1,0,2,0.911,0.384,0.553,2,1,4,-1.0,0.321,0.409
bank,rfc,0,bayesian,0.3,23456789,2,195.008,195.009,0.911,0.339,0.483,1,0,2,0.911,0.339,0.483,1,0,2,-1.0,0.36,0.36
bank,rfc,0,bayesian,0.3,34567890,3,214.272,441.473,0.971,0.348,0.157,0,0,1,0.897,0.249,0.347,1,2,4,-1.0,0.28,0.264
bank,rfc,0,bayesian,0.3,45678901,4,192.094,570.246,0.99,0.5,0.103,1,0,2,0.942,0.377,0.361,3,2,6,-1.0,0.282,0.374
bank,rfc,0,bayesian,0.3,56789012,5,192.664,677.949,0.958,0.352,0.236,1,0,2,0.936,0.338,0.333,3,2,6,-1.0,0.32,0.337
bank,rfc,0,bayesian,0.4,12345678,1,237.388,471.866,0.952,0.344,0.252,1,0,2,0.911,0.384,0.553,2,1,4,-1.0,0.321,0.409
bank,rfc,0,bayesian,0.4,23456789,2,192.429,192.43,0.911,0.339,0.483,1,0,2,0.911,0.339,0.483,1,0,2,-1.0,0.36,0.36
bank,rfc,0,bayesian,0.4,34567890,3,232.118,713.979,0.971,0.348,0.157,0,0,1,0.748,0.197,0.629,2,4,7,-1.0,0.28,0.228
bank,rfc,0,bayesian,0.4,45678901,4,199.28,755.13,0.99,0.5,0.103,1,0,2,0.914,0.366,0.515,4,3,8,-1.0,0.282,0.388
bank,rfc,0,bayesian,0.4,56789012,5,186.469,1212.436,0.958,0.352,0.236,1,0,2,0.746,0.191,0.611,5,4,10,-1.0,0.32,0.221
bank,rfc,0,bayesian,0.5,12345678,1,248.495,488.625,0.952,0.344,0.252,1,0,2,0.911,0.384,0.553,2,1,4,-1.0,0.321,0.409
bank,rfc,0,bayesian,0.5,23456789,2,195.564,431.457,0.911,0.339,0.483,1,0,2,0.868,0.332,0.695,2,1,4,-1.0,0.36,0.371
bank,rfc,0,bayesian,0.5,34567890,3,242.775,754.85,0.971,0.348,0.157,0,0,1,0.748,0.197,0.629,2,4,7,-1.0,0.28,0.228
bank,rfc,0,bayesian,0.5,45678901,4,204.249,767.64,0.99,0.5,0.103,1,0,2,0.914,0.366,0.515,4,3,8,-1.0,0.282,0.388
bank,rfc,0,bayesian,0.5,56789012,5,194.541,1239.764,0.958,0.352,0.236,1,0,2,0.746,0.191,0.611,5,4,10,-1.0,0.32,0.221
