blackbox_,learner_,rules_,fscore_with_median
bank,0,bayesian,0.363
bank,0,induction,0.394
bank,0,islearn,-1.0
bank,0,tree,0.42
bank,2,bayesian,0.383
bank,2,induction,0.382
bank,2,islearn,-1.0
bank,2,tree,0.412
bank,3,bayesian,0.385
bank,3,induction,0.382
bank,3,islearn,-1.0
bank,3,tree,0.422
bank,4,bayesian,0.392
bank,4,induction,0.382
bank,4,islearn,-1.0
bank,4,tree,0.422
bank,5,bayesian,0.381
bank,5,induction,0.375
bank,5,islearn,-1.0
bank,5,tree,0.406
bank,6,bayesian,0.384
bank,6,induction,0.381
bank,6,islearn,-1.0
bank,6,tree,0.422
bugreport,0,bayesian,0.242
bugreport,0,induction,0.258
bugreport,0,islearn,-1.0
bugreport,0,tree,0.316
bugreport,2,bayesian,0.309
bugreport,2,induction,0.243
bugreport,2,islearn,-1.0
bugreport,2,tree,0.317
bugreport,3,bayesian,0.293
bugreport,3,induction,0.263
bugreport,3,islearn,-1.0
bugreport,3,tree,0.317
bugreport,4,bayesian,0.294
bugreport,4,induction,0.242
bugreport,4,islearn,-1.0
bugreport,4,tree,0.317
bugreport,5,bayesian,0.292
bugreport,5,induction,0.241
bugreport,5,islearn,-1.0
bugreport,5,tree,0.315
bugreport,6,bayesian,0.295
bugreport,6,induction,0.242
bugreport,6,islearn,-1.0
bugreport,6,tree,0.317
heartWT,0,bayesian,0.579
heartWT,0,induction,0.55
heartWT,0,islearn,-1.0
heartWT,0,tree,0.674
heartWT,2,bayesian,0.548
heartWT,2,induction,0.478
heartWT,2,islearn,-1.0
heartWT,2,tree,0.577
heartWT,3,bayesian,0.5
heartWT,3,induction,0.489
heartWT,3,islearn,-1.0
heartWT,3,tree,0.581
heartWT,4,bayesian,0.535
heartWT,4,induction,0.489
heartWT,4,islearn,-1.0
heartWT,4,tree,0.572
heartWT,5,bayesian,0.527
heartWT,5,induction,0.547
heartWT,5,islearn,-1.0
heartWT,5,tree,0.561
heartWT,6,bayesian,0.588
heartWT,6,induction,0.513
heartWT,6,islearn,-1.0
heartWT,6,tree,0.602
hotel,0,bayesian,0.28
hotel,0,induction,0.232
hotel,0,islearn,-1.0
hotel,0,tree,0.293
hotel,2,bayesian,0.231
hotel,2,induction,0.249
hotel,2,islearn,-1.0
hotel,2,tree,0.239
hotel,3,bayesian,0.232
hotel,3,induction,0.238
hotel,3,islearn,-1.0
hotel,3,tree,0.239
hotel,4,bayesian,0.23
hotel,4,induction,0.238
hotel,4,islearn,-1.0
hotel,4,tree,0.239
hotel,5,bayesian,0.227
hotel,5,induction,0.239
hotel,5,islearn,-1.0
hotel,5,tree,0.239
hotel,6,bayesian,0.237
hotel,6,induction,0.235
hotel,6,islearn,-1.0
hotel,6,tree,0.239
java,0,bayesian,0.268
java,0,induction,0.217
java,0,islearn,-1.0
java,0,tree,0.359
java,2,bayesian,0.273
java,2,induction,0.176
java,2,islearn,-1.0
java,2,tree,0.33
java,3,bayesian,0.273
java,3,induction,0.201
java,3,islearn,-1.0
java,3,tree,0.34
java,4,bayesian,0.25
java,4,induction,0.201
java,4,islearn,-1.0
java,4,tree,0.344
java,5,bayesian,0.27
java,5,induction,0.202
java,5,islearn,-1.0
java,5,tree,0.351
java,6,bayesian,0.259
java,6,induction,0.205
java,6,islearn,-1.0
java,6,tree,0.355
job,0,bayesian,0.397
job,0,induction,0.385
job,0,islearn,-1.0
job,0,tree,0.452
job,2,bayesian,0.297
job,2,induction,0.398
job,2,islearn,-1.0
job,2,tree,0.334
job,3,bayesian,0.369
job,3,induction,0.42
job,3,islearn,-1.0
job,3,tree,0.362
job,4,bayesian,0.352
job,4,induction,0.351
job,4,islearn,-1.0
job,4,tree,0.362
job,5,bayesian,0.437
job,5,induction,0.385
job,5,islearn,-1.0
job,5,tree,0.432
job,6,bayesian,0.416
job,6,induction,0.351
job,6,islearn,-1.0
job,6,tree,0.456
php,0,bayesian,0.13
php,0,induction,0.168
php,0,islearn,-1.0
php,0,tree,0.364
php,2,bayesian,0.298
php,2,induction,0.224
php,2,islearn,-1.0
php,2,tree,0.357
php,3,bayesian,0.305
php,3,induction,0.178
php,3,islearn,-1.0
php,3,tree,0.364
php,4,bayesian,0.304
php,4,induction,0.171
php,4,islearn,-1.0
php,4,tree,0.362
php,5,bayesian,0.3
php,5,induction,0.169
php,5,islearn,-1.0
php,5,tree,0.361
php,6,bayesian,0.298
php,6,induction,0.162
php,6,islearn,-1.0
php,6,tree,0.365
python,0,bayesian,0.267
python,0,induction,0.2
python,0,islearn,-1.0
python,0,tree,0.377
python,2,bayesian,0.295
python,2,induction,0.24
python,2,islearn,-1.0
python,2,tree,0.371
python,3,bayesian,0.375
python,3,induction,0.217
python,3,islearn,-1.0
python,3,tree,0.378
python,4,bayesian,0.295
python,4,induction,0.199
python,4,islearn,-1.0
python,4,tree,0.382
python,5,bayesian,0.256
python,5,induction,0.2
python,5,islearn,-1.0
python,5,tree,0.371
python,6,bayesian,0.275
python,6,induction,0.199
python,6,islearn,-1.0
python,6,tree,0.382
ruby,0,bayesian,0.195
ruby,0,induction,0.208
ruby,0,islearn,-1.0
ruby,0,tree,0.387
ruby,2,bayesian,0.302
ruby,2,induction,0.229
ruby,2,islearn,-1.0
ruby,2,tree,0.382
ruby,3,bayesian,0.285
ruby,3,induction,0.172
ruby,3,islearn,-1.0
ruby,3,tree,0.382
ruby,4,bayesian,0.285
ruby,4,induction,0.172
ruby,4,islearn,-1.0
ruby,4,tree,0.382
ruby,5,bayesian,0.284
ruby,5,induction,0.199
ruby,5,islearn,-1.0
ruby,5,tree,0.375
ruby,6,bayesian,0.281
ruby,6,induction,0.202
ruby,6,islearn,-1.0
ruby,6,tree,0.382
spam,0,bayesian,0.42
spam,0,induction,0.411
spam,0,tree,0.401
spam,2,bayesian,0.42
spam,2,induction,0.39
spam,2,islearn,-1.0
spam,2,tree,0.405
spam,3,bayesian,0.42
spam,3,induction,0.405
spam,3,islearn,-1.0
spam,3,tree,0.402
spam,4,bayesian,0.421
spam,4,induction,0.412
spam,4,islearn,-1.0
spam,4,tree,0.403
spam,5,bayesian,0.418
spam,5,induction,0.414
spam,5,islearn,-1.0
spam,5,tree,0.402
spam,6,bayesian,0.422
spam,6,induction,0.413
spam,6,islearn,-1.0
spam,6,tree,0.4
water,0,bayesian,0.404
water,0,induction,0.417
water,0,islearn,-1.0
water,0,tree,0.428
water,2,bayesian,0.434
water,2,induction,0.426
water,2,islearn,-1.0
