blackbox_,learner_,rules_,predicates_with_median
bank,0,bayesian,9.5
bank,0,induction,3.0
bank,0,islearn,-1.0
bank,0,tree,6.5
bank,2,bayesian,10.0
bank,2,induction,3.0
bank,2,islearn,-1.0
bank,2,tree,8.0
bank,3,bayesian,6.0
bank,3,induction,4.0
bank,3,islearn,-1.0
bank,3,tree,7.0
bank,4,bayesian,10.0
bank,4,induction,4.0
bank,4,islearn,-1.0
bank,4,tree,7.0
bank,5,bayesian,7.667
bank,5,induction,3.167
bank,5,islearn,-1.0
bank,5,tree,7.333
bank,6,bayesian,8.0
bank,6,induction,4.0
bank,6,islearn,-1.0
bank,6,tree,7.0
bugreport,0,bayesian,5.167
bugreport,0,induction,2.0
bugreport,0,islearn,-1.0
bugreport,0,tree,3.0
bugreport,2,bayesian,4.0
bugreport,2,induction,2.0
bugreport,2,islearn,-1.0
bugreport,2,tree,2.0
bugreport,3,bayesian,4.0
bugreport,3,induction,2.0
bugreport,3,islearn,-1.0
bugreport,3,tree,2.0
bugreport,4,bayesian,2.0
bugreport,4,induction,2.0
bugreport,4,islearn,-1.0
bugreport,4,tree,2.0
bugreport,5,bayesian,2.667
bugreport,5,induction,2.0
bugreport,5,islearn,-1.0
bugreport,5,tree,3.0
bugreport,6,bayesian,2.0
bugreport,6,induction,2.0
bugreport,6,islearn,-1.0
bugreport,6,tree,2.0
heartWT,0,bayesian,4.333
heartWT,0,induction,4.333
heartWT,0,islearn,-1.0
heartWT,0,tree,4.5
heartWT,2,bayesian,4.0
heartWT,2,induction,2.0
heartWT,2,islearn,-1.0
heartWT,2,tree,3.0
heartWT,3,bayesian,4.0
heartWT,3,induction,4.0
heartWT,3,islearn,-1.0
heartWT,3,tree,4.0
heartWT,4,bayesian,4.0
heartWT,4,induction,4.0
heartWT,4,islearn,-1.0
heartWT,4,tree,4.0
heartWT,5,bayesian,5.333
heartWT,5,induction,4.5
heartWT,5,islearn,-1.0
heartWT,5,tree,3.833
heartWT,6,bayesian,6.0
heartWT,6,induction,4.0
heartWT,6,islearn,-1.0
heartWT,6,tree,4.0
hotel,0,bayesian,2.667
hotel,0,induction,1.833
hotel,0,islearn,-1.0
hotel,0,tree,2.667
hotel,2,bayesian,4.0
hotel,2,induction,2.0
hotel,2,islearn,-1.0
hotel,2,tree,2.0
hotel,3,bayesian,4.0
