blackbox_,learner_,rules_,specificity_with_median
bank,0,bayesian,0.871
bank,0,induction,0.898
bank,0,islearn,-1.0
bank,0,tree,0.9
bank,2,bayesian,0.881
bank,2,induction,0.869
bank,2,islearn,-1.0
bank,2,tree,0.892
bank,3,bayesian,0.888
bank,3,induction,0.869
bank,3,islearn,-1.0
bank,3,tree,0.903
bank,4,bayesian,0.882
bank,4,induction,0.869
bank,4,islearn,-1.0
bank,4,tree,0.903
bank,5,bayesian,0.881
bank,5,induction,0.878
bank,5,islearn,-1.0
bank,5,tree,0.89
bank,6,bayesian,0.873
bank,6,induction,0.869
bank,6,islearn,-1.0
bank,6,tree,0.895
bugreport,0,bayesian,0.562
bugreport,0,induction,0.586
bugreport,0,islearn,-1.0
bugreport,0,tree,0.714
bugreport,2,bayesian,0.734
bugreport,2,induction,0.427
bugreport,2,islearn,-1.0
bugreport,2,tree,0.733
bugreport,3,bayesian,0.628
bugreport,3,induction,0.614
bugreport,3,islearn,-1.0
bugreport,3,tree,0.733
bugreport,4,bayesian,0.632
bugreport,4,induction,0.429
bugreport,4,islearn,-1.0
bugreport,4,tree,0.733
bugreport,5,bayesian,0.644
bugreport,5,induction,0.429
bugreport,5,islearn,-1.0
bugreport,5,tree,0.707
bugreport,6,bayesian,0.662
bugreport,6,induction,0.429
bugreport,6,islearn,-1.0
bugreport,6,tree,0.733
heartWT,0,bayesian,0.82
heartWT,0,induction,0.761
heartWT,0,islearn,-1.0
heartWT,0,tree,0.859
heartWT,2,bayesian,0.8
heartWT,2,induction,0.545
heartWT,2,islearn,-1.0
heartWT,2,tree,0.831
heartWT,3,bayesian,0.754
heartWT,3,induction,0.667
heartWT,3,islearn,-1.0
heartWT,3,tree,0.831
heartWT,4,bayesian,0.75
heartWT,4,induction,0.667
heartWT,4,islearn,-1.0
heartWT,4,tree,0.731
heartWT,5,bayesian,0.816
heartWT,5,induction,0.744
heartWT,5,islearn,-1.0
heartWT,5,tree,0.786
heartWT,6,bayesian,0.815
heartWT,6,induction,0.657
heartWT,6,islearn,-1.0
heartWT,6,tree,0.871
hotel,0,bayesian,0.54
hotel,0,induction,0.172
hotel,0,islearn,-1.0
hotel,0,tree,0.507
hotel,2,bayesian,0.373
hotel,2,induction,0.256
hotel,2,islearn,-1.0
hotel,2,tree,0.339
hotel,3,bayesian,0.34
hotel,3,induction,0.273
hotel,3,islearn,-1.0
hotel,3,tree,0.339
hotel,4,bayesian,0.399
hotel,4,induction,0.262
hotel,4,islearn,-1.0
hotel,4,tree,0.339
hotel,5,bayesian,0.411
hotel,5,induction,0.288
hotel,5,islearn,-1.0
hotel,5,tree,0.339
hotel,6,bayesian,0.417
hotel,6,induction,0.221
hotel,6,islearn,-1.0
hotel,6,tree,0.339
java,0,bayesian,0.815
java,0,induction,0.919
java,0,islearn,-1.0
java,0,tree,0.92
java,2,bayesian,0.821
java,2,induction,0.877
java,2,islearn,-1.0
java,2,tree,0.921
java,3,bayesian,0.816
java,3,induction,0.895
java,3,islearn,-1.0
java,3,tree,0.914
java,4,bayesian,0.79
java,4,induction,0.906
java,4,islearn,-1.0
java,4,tree,0.914
java,5,bayesian,0.834
java,5,induction,0.913
java,5,islearn,-1.0
java,5,tree,0.914
java,6,bayesian,0.81
java,6,induction,0.91
java,6,islearn,-1.0
