blackbox_,learner_,rules_,time_with_median
bank,0,bayesian,1103.592
bank,0,induction,840.666
bank,0,islearn,-1.0
bank,0,tree,0.194
bank,2,bayesian,958.412
bank,2,induction,100.303
bank,2,islearn,-1.0
bank,2,tree,1.23
bank,3,bayesian,463.322
bank,3,induction,201.622
bank,3,islearn,-1.0
bank,3,tree,1.182
bank,4,bayesian,790.291
bank,4,induction,209.521
bank,4,islearn,-1.0
bank,4,tree,1.202
bank,5,bayesian,730.334
bank,5,induction,206.108
bank,5,islearn,-1.0
bank,5,tree,1.24
bank,6,bayesian,647.268
bank,6,induction,299.285
bank,6,islearn,-1.0
bank,6,tree,1.201
bugreport,0,bayesian,523.016
bugreport,0,induction,397.366
bugreport,0,islearn,-1.0
bugreport,0,tree,0.105
bugreport,2,bayesian,415.507
bugreport,2,induction,20.993
bugreport,2,islearn,-1.0
bugreport,2,tree,1.002
bugreport,3,bayesian,419.184
bugreport,3,induction,37.726
bugreport,3,islearn,-1.0
bugreport,3,tree,1.009
bugreport,4,bayesian,234.946
bugreport,4,induction,43.827
bugreport,4,islearn,-1.0
bugreport,4,tree,1.014
bugreport,5,bayesian,319.566
bugreport,5,induction,52.298
bugreport,5,islearn,-1.0
bugreport,5,tree,1.016
bugreport,6,bayesian,236.584
bugreport,6,induction,70.559
bugreport,6,islearn,-1.0
bugreport,6,tree,1.027
heartWT,0,bayesian,490.556
heartWT,0,induction,49.214
heartWT,0,islearn,-1.0
heartWT,0,tree,0.022
heartWT,2,bayesian,497.384
heartWT,2,induction,7.707
heartWT,2,islearn,-1.0
heartWT,2,tree,0.236
heartWT,3,bayesian,446.058
heartWT,3,induction,13.819
heartWT,3,islearn,-1.0
heartWT,3,tree,0.239
heartWT,4,bayesian,467.694
heartWT,4,induction,19.909
heartWT,4,islearn,-1.0
heartWT,4,tree,0.255
heartWT,5,bayesian,623.805
heartWT,5,induction,32.827
heartWT,5,islearn,-1.0
heartWT,5,tree,0.244
heartWT,6,bayesian,692.623
heartWT,6,induction,50.839
heartWT,6,islearn,-1.0
heartWT,6,tree,0.249
hotel,0,bayesian,338.425
hotel,0,induction,231.762
hotel,0,islearn,-1.0
hotel,0,tree,0.09
hotel,2,bayesian,394.627
hotel,2,induction,31.932
hotel,2,islearn,-1.0
hotel,2,tree,1.392
hotel,3,bayesian,417.717
hotel,3,induction,49.272
hotel,3,islearn,-1.0
hotel,3,tree,1.417
