blackbox_,learner_,rules_,coverage_,time_without_min,time_without_max,time_without_median,time_without_std,time_with_min,time_with_max,time_with_median,time_with_std,specificity_without_min,specificity_without_max,specificity_without_median,specificity_without_std,precision_without_min,precision_without_max,precision_without_median,precision_without_std,recall_without_min,recall_without_max,recall_without_median,recall_without_std,and_without_min,and_without_max,and_without_median,and_without_std,or_without_min,or_without_max,or_without_median,or_without_std,predicates_without_min,predicates_without_max,predicates_without_median,predicates_without_std,specificity_with_min,specificity_with_max,specificity_with_median,specificity_with_std,precision_with_min,precision_with_max,precision_with_median,precision_with_std,recall_with_min,recall_with_max,recall_with_median,recall_with_std,and_with_min,and_with_max,and_with_median,and_with_std,or_with_min,or_with_max,or_with_median,or_with_std,predicates_with_min,predicates_with_max,predicates_with_median,predicates_with_std,time_influential_min,time_influential_max,time_influential_median,time_influential_std,fscore_without_min,fscore_without_max,fscore_without_median,fscore_without_std,fscore_with_min,fscore_with_max,fscore_with_median,fscore_with_std
bank,0,bayesian,0.3,192.094,249.384,195.008,24.529,195.009,677.949,489.848,180.277,0.911,0.99,0.958,0.029,0.339,0.5,0.348,0.069,0.103,0.483,0.236,0.145,0,1,1.0,0.447,0,0,0.0,0.0,1,2,2.0,0.447,0.897,0.942,0.911,0.019,0.249,0.384,0.339,0.054,0.333,0.553,0.361,0.097,1,3,2.0,1.0,0,2,2.0,0.894,2,6,4.0,1.673,-1.0,-1.0,-1.0,0.0,0.28,0.36,0.32,0.033,0.264,0.409,0.36,0.054
bank,0,bayesian,0.4,186.469,237.388,199.28,23.535,192.43,1212.436,713.979,377.738,0.911,0.99,0.958,0.029,0.339,0.5,0.348,0.069,0.103,0.483,0.236,0.145,0,1,1.0,0.447,0,0,0.0,0.0,1,2,2.0,0.447,0.746,0.914,0.911,0.09,0.191,0.384,0.339,0.094,0.483,0.629,0.553,0.062,1,5,2.0,1.643,0,4,3.0,1.817,2,10,7.0,3.194,-1.0,-1.0,-1.0,0.0,0.28,0.36,0.32,0.033,0.221,0.409,0.36,0.09
bank,0,bayesian,0.5,194.541,248.495,204.249,26.376,431.457,1239.764,754.85,319.795,0.911,0.99,0.958,0.029,0.339,0.5,0.348,0.069,0.103,0.483,0.236,0.145,0,1,1.0,0.447,0,0,0.0,0.0,1,2,2.0,0.447,0.746,0.914,0.868,0.085,0.191,0.384,0.332,0.093,0.515,0.695,0.611,0.07,2,5,2.0,1.414,1,4,3.0,1.517,4,10,7.0,2.608,-1.0,-1.0,-1.0,0.0,0.28,0.36,0.32,0.033,0.221,0.409,0.371,0.091
bank,0,bayesian,0.6,194.995,249.217,198.665,24.094,438.558,1291.54,973.683,355.082,0.911,0.99,0.958,0.029,0.339,0.5,0.348,0.069,0.103,0.483,0.236,0.145,0,1,1.0,0.447,0,0,0.0,0.0,1,2,2.0,0.447,0.746,0.896,0.868,0.074,0.191,0.362,0.332,0.086,0.61,0.695,0.629,0.04,2,6,4.0,1.789,1,5,4.0,1.517,4,12,8.0,3.033,-1.0,-1.0,-1.0,0.0,0.28,0.36,0.32,0.033,0.221,0.395,0.371,0.089
bank,0,bayesian,0.7,191.477,248.479,207.355,23.456,691.381,1764.844,1662.077,462.888,0.911,0.99,0.958,0.029,0.339,0.5,0.348,0.069,0.103,0.483,0.236,0.145,0,1,1.0,0.447,0,0,0.0,0.0,1,2,2.0,0.447,0.528,0.871,0.864,0.164,0.145,0.352,0.335,0.107,0.711,0.817,0.718,0.045,3,7,6.0,1.673,2,9,6.0,2.702,6,16,14.0,4.147,-1.0,-1.0,-1.0,0.0,0.28,0.36,0.32,0.033,0.174,0.392,0.376,0.113
bank,0,bayesian,0.8,189.794,246.313,221.399,22.933,1222.109,7366.712,2027.117,2527.559,0.911,0.99,0.958,0.029,0.339,0.5,0.348,0.069,0.103,0.483,0.236,0.145,0,1,1.0,0.447,0,0,0.0,0.0,1,2,2.0,0.447,0.528,0.838,0.805,0.138,0.145,0.318,0.295,0.084,0.715,0.817,0.813,0.044,5,34,8.0,12.178,4,33,9.0,11.52,10,68,17.0,23.647,-1.0,-1.0,-1.0,0.0,0.28,0.36,0.32,0.033,0.174,0.362,0.338,0.092
bank,0,induction,0.3,170.66,289.637,216.651,46.736,643.709,812.532,728.398,71.289,0.94,0.945,0.943,0.002,0.387,0.43,0.406,0.016,0.376,0.423,0.404,0.018,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,0.0,0.895,0.966,0.943,0.026,0.368,0.488,0.406,0.044,0.333,0.61,0.404,0.104,0,1,0.0,0.447,1,1,1.0,0.0,2,3,2.0,0.447,-1.0,-1.0,-1.0,0.0,0.385,0.429,0.405,0.016,0.4,0.446,0.405,0.019
bank,0,induction,0.4,164.164,251.985,213.69,31.631,689.771,814.942,763.653,47.728,0.94,0.945,0.943,0.002,0.387,0.43,0.406,0.016,0.376,0.423,0.404,0.018,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,0.0,0.895,0.945,0.943,0.022,0.368,0.43,0.406,0.023,0.401,0.61,0.414,0.09,0,1,0.0,0.447,1,2,1.0,0.447,2,4,2.0,0.894,-1.0,-1.0,-1.0,0.0,0.385,0.429,0.405,0.016,0.4,0.429,0.405,0.012
bank,0,induction,0.5,169.888,241.118,189.281,29.625,717.502,996.948,728.941,118.892,0.94,0.945,0.943,0.002,0.387,0.43,0.406,0.016,0.376,0.423,0.404,0.018,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,0.0,0.869,0.895,0.87,0.013,0.337,0.368,0.355,0.012,0.61,0.727,0.685,0.047,0,0,0.0,0.0,1,2,2.0,0.548,2,3,3.0,0.548,-1.0,-1.0,-1.0,0.0,0.385,0.429,0.405,0.016,0.375,0.4,0.39,0.01
bank,0,induction,0.6,155.755,243.439,195.027,33.046,714.143,950.915,781.751,107.227,0.94,0.945,0.943,0.002,0.387,0.43,0.406,0.016,0.376,0.423,0.404,0.018,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,0.0,0.869,0.895,0.87,0.013,0.337,0.368,0.355,0.012,0.61,0.727,0.685,0.047,0,0,0.0,0.0,1,3,2.0,0.837,2,4,3.0,0.837,-1.0,-1.0,-1.0,0.0,0.385,0.429,0.405,0.016,0.375,0.4,0.39,0.01
