run,blackbox,model,learner,rules,coverage,seed,model_number,specificity_without,precision_without,recall_without,time_without,and_without,or_without,predicates_without,specificity_with,precision_with,recall_with,time_with,and_with,or_with,predicates_with,time_influential
1,bank,rfc,0,bayesian,0.3,12345678,1,0.952,0.344,0.252,254.594,1,0,2,0.911,0.384,0.553,500.393,2,1,4,-1.0
1,bank,rfc,0,bayesian,0.3,23456789,2,0.911,0.339,0.483,188.367,1,0,2,0.911,0.339,0.483,188.367,1,0,2,-1.0
1,bank,rfc,0,bayesian,0.3,34567890,3,0.971,0.348,0.157,208.537,0,0,1,0.897,0.249,0.347,436.066,1,2,4,-1.0
1,bank,rfc,0,bayesian,0.3,45678901,4,0.99,0.5,0.103,195.899,1,0,2,0.942,0.377,0.361,581.705,3,2,6,-1.0
1,bank,rfc,0,bayesian,0.3,56789012,5,0.958,0.352,0.236,189.665,1,0,2,0.936,0.338,0.333,649.219,3,2,6,-1.0
1,bank,rfc,0,bayesian,0.4,12345678,1,0.952,0.344,0.252,238.376,1,0,2,0.911,0.384,0.553,477.473,2,1,4,-1.0
1,bank,rfc,0,bayesian,0.4,23456789,2,0.911,0.339,0.483,188.439,1,0,2,0.911,0.339,0.483,188.439,1,0,2,-1.0
1,bank,rfc,0,bayesian,0.4,34567890,3,0.971,0.348,0.157,237.37,0,0,1,0.748,0.197,0.629,743.55,2,4,7,-1.0
1,bank,rfc,0,bayesian,0.4,45678901,4,0.99,0.5,0.103,198.099,1,0,2,0.914,0.366,0.515,737.883,4,3,8,-1.0
1,bank,rfc,0,bayesian,0.4,56789012,5,0.958,0.352,0.236,176.267,1,0,2,0.746,0.191,0.611,1177.067,5,4,10,-1.0
1,bank,rfc,0,bayesian,0.5,12345678,1,0.952,0.344,0.252,251.284,1,0,2,0.911,0.384,0.553,488.675,2,1,4,-1.0
1,bank,rfc,0,bayesian,0.5,23456789,2,0.911,0.339,0.483,194.079,1,0,2,0.868,0.332,0.695,426.755,2,1,4,-1.0
1,bank,rfc,0,bayesian,0.5,34567890,3,0.971,0.348,0.157,247.618,0,0,1,0.748,0.197,0.629,764.447,2,4,7,-1.0
1,bank,rfc,0,bayesian,0.5,45678901,4,0.99,0.5,0.103,221.773,1,0,2,0.914,0.366,0.515,814.606,4,3,8,-1.0
1,bank,rfc,0,bayesian,0.5,56789012,5,0.958,0.352,0.236,186.292,1,0,2,0.746,0.191,0.611,1218.485,5,4,10,-1.0
1,bank,rfc,0,bayesian,0.6,12345678,1,0.952,0.344,0.252,236.19,1,0,2,0.877,0.357,0.681,932.771,4,3,8,-1.0
1,bank,rfc,0,bayesian,0.6,23456789,2,0.911,0.339,0.483,211.498,1,0,2,0.868,0.332,0.695,450.573,2,1,4,-1.0
1,bank,rfc,0,bayesian,0.6,34567890,3,0.971,0.348,0.157,230.036,0,0,1,0.748,0.197,0.629,728.278,2,4,7,-1.0
1,bank,rfc,0,bayesian,0.6,45678901,4,0.99,0.5,0.103,188.239,1,0,2,0.896,0.362,0.61,1196.013,6,5,12,-1.0
1,bank,rfc,0,bayesian,0.6,56789012,5,0.958,0.352,0.236,194.232,1,0,2,0.746,0.191,0.611,1255.18,5,4,10,-1.0
